draw,kernel.kernel_efficiency,topology.net_efficiency,parallelism.overlap_dp,parallelism.overlap_tp,reliability.failure_rate_per_node_day,reliability.detect_time_s,reliability.restart_time_s,reliability.checkpoint_write_s,reliability.straggler_cv,sea_bandwidth_2x,sea_bandwidth_4x,sea_flat_fabric,sea_scaleup_2x,sea_reliability_2x,sea_fast_detection,sea_fast_restart,sea_fast_checkpoint,sea_add_spares,sea_straggler_control,winner,winner_sea,recovery_pressure,within_validity_envelope
287,0.529954450778286,0.7209209357909976,0.8358478232475026,0.3024119189317341,0.01134518998431865,94.53487404975898,393.2066818805631,21.483448722025404,0.041320479621482706,377.5447713334943,571.8505647152851,84.93497665764517,0.0,4304.231923321979,434.7519438877789,2137.6013919139514,1442.8759491290984,0.0,3361.8449604599773,reliability_2x,4304.231923321979,0.17028272967227664,True
288,0.6124131962758731,0.7738390845745194,0.7569073350165023,0.26228308542462775,0.014382233573730935,286.2187508233663,578.2045545816777,55.16075630287753,0.00499197281772204,692.2672316725257,1062.6627859998407,172.65361225719607,0.0,25397.069503738043,2546.7486060472766,5918.128333034165,5651.941341473783,0.0,0.0,reliability_2x,25397.069503738043,0.3219412452840039,False
289,0.6856527186112683,0.7659885908848607,0.6032814616423128,0.06855829002552637,0.004923947571846476,282.4461653770389,466.2937549135572,22.743996601014167,0.007187131602118858,797.3347016718471,1225.722600605517,220.64408180033206,0.0,1491.1005942251904,668.2778517818988,1058.4724534015586,930.9517992758229,0.0,0.0,reliability_2x,1491.1005942251904,0.11725082395759788,True
290,0.5521635551438044,0.7389987257319951,0.9263397555867637,0.07129078415126726,0.006963570815047775,174.49468783267545,276.8223317540371,9.253459957087674,0.007737698724368941,210.25492266592119,317.3426015797777,33.58976982812237,0.0,1515.7734893086163,516.1011897059288,733.7576312935453,318.1119312549781,0.0,0.0,reliability_2x,1515.7734893086163,0.09724549256611786,True
291,0.5233833132612793,0.7291730628638317,0.6985955327673128,0.28327362252651583,0.002335765454147205,51.421784628366474,107.16252700492268,41.137454234768185,0.04077209974271666,486.4293054878108,740.2868330406673,129.1618922689704,0.0,0.0,35.608027631260484,53.49216119866833,947.9123250279918,0.0,2752.0173995078003,straggler_control,2752.0173995078003,0.04317629690382346,True
292,0.474323132517282,0.9271287830177221,0.6693110901533363,0.20297280187265615,0.008856976766536693,200.19439656554192,644.2759685869943,28.23938587461312,0.014819345339144908,472.07654892173014,718.3531630928119,127.80068653065973,0.0,5155.382133497722,856.7672363068959,3162.8241652428696,1759.919875413667,0.0,520.610754504658,reliability_2x,5155.382133497722,0.2049721419003727,True
293,0.4966731561876565,0.9342333796729136,0.7125929599126465,0.17756016324159765,0.001733317755130343,324.9197098158351,882.0173505849568,76.06388333343607,0.002307032991300623,367.2192766772132,555.8889228291955,96.84457333332466,0.0,0.0,258.8291526391258,715.4935557081444,1335.917938850147,0.0,0.0,fast_checkpoint,1335.917938850147,0.08758097601280715,True
294,0.5189202182176351,0.7495610839030975,0.7972767934373417,0.28911496789327656,0.0064871214320902796,163.54543377697533,193.1627860656156,21.717468831982075,0.0026101616530483764,367.88943798242326,556.9217763173001,88.55659941823978,0.0,1449.4810542225932,460.51521558506283,426.5712854835292,961.5901351307621,0.0,0.0,reliability_2x,1449.4810542225932,0.0936915794357334,True
295,0.5690478914424826,0.9470753281925317,0.7363381259314852,0.012121075679629965,0.014491603250722303,195.2455931025318,221.49434602177698,20.985382615752634,0.03159505783353618,437.6862767015373,664.7511735678272,112.77776969602928,0.0,5471.0426707668485,1402.4538128457389,1283.8820600347171,1658.9599263638847,0.0,2347.6861043942336,reliability_2x,5471.0426707668485,0.18588042826447893,True
296,0.6413708193552762,0.8325409014699784,0.6201086365867808,0.1277121469109729,0.010578349393430332,211.3288357193597,369.0145404466714,78.55683422886547,0.01572312523751342,809.2169585959964,1245.2261271714342,221.87262838999595,0.0,7544.657459150592,1211.092034488127,2050.7227306036184,5113.420881119058,0.0,659.8115272601644,reliability_2x,7544.657459150592,0.22871714270318916,True
297,0.5324329780580864,0.7674676771460318,0.8116430569479623,0.271434947058922,0.01333508111834583,223.80388739931797,291.0617589716593,60.7917811533811,0.013594541588633952,435.27227618382676,661.1133755810915,102.16266580066804,0.0,8724.860141457684,1615.5521722556769,1856.7834034596672,4657.475828433984,0.0,406.4793432715087,reliability_2x,8724.860141457684,0.23981278872014186,True
298,0.6233729042148484,0.718482327530935,0.674697869739655,0.015643422964061893,0.013955634834761855,173.1560809114701,232.6633625703056,48.406738644153144,0.04048982660876021,757.3291670452272,1163.5134619465462,201.94274779322222,0.0,7188.332422380139,1253.0800324048978,1426.3514341940681,3845.9494564833585,0.0,3651.9148987492226,reliability_2x,7188.332422380139,0.21002332802250412,True
299,0.481528837750011,0.8580067873714363,0.621767737163391,0.3184221917622692,0.011041384268610486,268.4317238649265,99.70936393662956,43.05194402541386,0.015746537290936263,549.3637095196755,838.4946397391432,152.3478211571528,0.0,4321.876081409162,1566.3060354978697,232.25278829835952,2749.9586009801715,0.0,591.3775673811724,reliability_2x,4321.876081409162,0.16510960685283652,True
300,0.6776618088806653,0.8508754066065141,0.9043298949243813,0.3411692430169032,0.009646421037478337,351.49344688002435,689.2051219113312,14.294945590168734,0.023391813257244206,320.58377212696723,484.9133679996521,58.10912616545829,0.0,6371.3696923960415,1749.1869574784942,3689.279135037279,903.7891348072808,0.0,1507.1308451470031,reliability_2x,6371.3696923960415,0.2317010846906239,True
