oversubscription,failure_rate_per_node_day,n_pool,productive_accelerators,productive_per_pool
4.0,0.015,132895,17180.889695494712,0.1292816862597894
4.0,0.015,135005,17119.301865257705,0.12680494696683609
7.0,0.001,4219,3209.3067768121064,0.7606794920151947
7.0,0.001,4351,3305.039738738991,0.7596046285311403
7.0,0.001,4483,3400.5330914125548,0.7585396144127938
7.0,0.001,4615,3495.7884467319072,0.7574839537880622
7.0,0.001,4747,3590.807363534293,0.7564371947618059
7.0,0.001,4879,3685.5913514967283,0.7553989242665973
7.0,0.001,5010,3780.141874637905,0.7545193362550708
7.0,0.001,5142,3874.4603544714496,0.7534928732927751
7.0,0.001,5274,3968.5481728531713,0.752474056286153
7.0,0.001,5406,4062.4066745598293,0.7514625739104382
7.0,0.001,5538,4156.037169630467,0.7504581382503552
7.0,0.001,5670,4249.44093549802,0.7494604824511499
7.0,0.001,5801,4342.619218934158,0.7485983828536732
7.0,0.001,5933,4435.573237828228,0.7476105238207026
7.0,0.001,6065,4528.304182817771,0.74662888422387
7.0,0.001,6197,4620.813218786181,0.745653254604838
7.0,0.001,6329,4713.101486241184,0.7446834391280114
7.0,0.001,6724,4987.202329994447,0.7417017147522973
7.0,0.001,7252,5351.356745031821,0.737914609077747
7.0,0.001,7779,5712.098885114974,0.7342973242209763
7.0,0.001,8306,6069.489723338601,0.7307355795013967
7.0,0.001,8834,6423.586782460419,0.7271436249106202
7.0,0.001,9493,6861.659094405548,0.7228125033609553
7.0,0.001,10152,7293.205608429138,0.7184008676545645
7.0,0.001,10811,7721.260847780644,0.7142041298474373
7.0,0.001,11602,8228.621322651185,0.7092416240864665
7.0,0.001,12393,8729.24397552501,0.7043689159626411
7.0,0.001,13316,9303.437310990585,0.6986660642077639
7.0,0.001,14239,9870.212374253624,0.6931815699314294
7.0,0.001,15294,10507.477345994304,0.6870326497969337
7.0,0.001,16349,11132.363275382075,0.680920134282346
7.0,0.001,17403,11747.937826528994,0.6750524522512782
7.0,0.001,18722,12502.862440663937,0.6678166029625007
7.0,0.001,20040,13240.576353934817,0.660707402890959
7.0,0.001,21359,13964.391453997965,0.6537942531952791
7.0,0.001,22941,14812.049738666263,0.6456584167501968
7.0,0.001,24523,15640.38849096811,0.6377844672743184
7.0,0.001,26237,16513.939107324717,0.6294141520495756
7.0,0.001,28082,17430.86567250347,0.6207131141835863
7.0,0.001,30060,18384.035119205688,0.6115780146109676
7.0,0.001,32038,19309.477506709765,0.6027054593517001
7.0,0.001,34411,20386.31016038013,0.5924358536624954
7.0,0.001,36784,21425.231065187796,0.5824606096451662
7.0,0.001,39289,22483.987505801244,0.5722718192318778
7.0,0.001,42057,23611.098667912003,0.5614071062584588
7.0,0.001,44958,24745.67040120293,0.5504175097024541
7.0,0.001,48122,25932.316423593435,0.538886921233395
7.0,0.001,51550,27161.00500904427,0.526886615112401
7.0,0.001,55110,28377.93796674504,0.5149326431998738
7.0,0.001,59065,29663.92053154542,0.5022250153482675
7.0,0.001,63152,30924.130599398814,0.4896777710824489
7.0,0.001,67503,32193.132784683847,0.47691410433142006
7.0,0.001,72249,33500.079516314036,0.4636753382927658
7.0,0.001,77391,34829.35490115546,0.45004399608682477
7.0,0.001,82796,36137.97071198242,0.4364700071498916
7.0,0.001,88597,37449.78023180416,0.4226980623701046
7.0,0.001,94793,38752.099614076826,0.4088076083052211
7.0,0.001,101385,40035.001359601556,0.3948809129516354
7.0,0.001,108505,41313.7777585077,0.38075459894482006
7.0,0.001,116152,42574.24773770373,0.3665390844557453
7.0,0.001,124194,43784.93728793378,0.35255275849021517
7.0,0.001,132895,44976.55217304905,0.3384367521204639
7.0,0.001,135005,45247.88911994266,0.3351571358093601
7.0,0.005,4219,3116.829539090446,0.7387602605097051
7.0,0.005,4351,3207.857670440384,0.7372690577891022
7.0,0.005,4483,3298.5569449355494,0.7357923142840842
7.0,0.005,4615,3388.930031587809,0.7343293676246607
7.0,0.005,4747,3478.9795124447014,0.7328796107951762
7.0,0.005,4879,3568.707888703913,0.7314424858995517
7.0,0.005,5010,3658.1175862213254,0.73016319086254
7.0,0.005,5142,3747.210960487733,0.7287458110633475
7.0,0.005,5274,3835.990301138492,0.7273398371517809
7.0,0.005,5406,3924.4578360511196,0.7259448457364261
7.0,0.005,5538,4012.615735077955,0.724560443314907
7.0,0.005,5670,4100.466113455068,0.7231862633959555
7.0,0.005,5801,4188.01103492229,0.7219463945737441
7.0,0.005,5933,4275.252514585665,0.7205886591245011
7.0,0.005,6065,4362.192521548944,0.719240316825877
7.0,0.005,6197,4448.832981337503,0.7179010781567698
7.0,0.005,6329,4535.175778135747,0.71657067121753
7.0,0.005,6724,4791.043090111891,0.7125287165544156
7.0,0.005,7252,5129.788188731365,0.7073618572437073
7.0,0.005,7779,5463.9786983785525,0.7024011696077327
7.0,0.005,8306,5793.714395946759,0.6975336378457452
7.0,0.005,8834,6119.08907742161,0.6926747880259917
7.0,0.005,9493,6519.809337917124,0.6868017842533577
7.0,0.005,10152,6912.533412634477,0.6809036064454764
7.0,0.005,10811,7300.204831084665,0.6752571298755586
7.0,0.005,11602,7757.211555994029,0.6686098565759377
7.0,0.005,12393,8205.498799894382,0.6621075445730963
7.0,0.005,13316,8716.337401096986,0.6545762542127505
7.0,0.005,14239,9217.217490529465,0.6473219671697075
7.0,0.005,15294,9776.310731635265,0.6392252341856457
7.0,0.005,16349,10320.23306595828,0.6312455236380379
7.0,0.005,17403,10852.004641416575,0.6235709154408191
7.0,0.005,18722,11498.525795956288,0.6141718724471898
7.0,0.005,20040,12124.147634164776,0.60499738693437
7.0,0.005,21359,12732.188140524833,0.5961041313041263
7.0,0.005,22941,13436.64413151142,0.5857043778175067
7.0,0.005,24523,14117.202877471096,0.5756719356306772
7.0,0.005,26237,14826.145257344779,0.5650853854230582
7.0,0.005,28082,15560.694634363872,0.554116324847371
7.0,0.005,30060,16313.388494198953,0.5426942280172639
7.0,0.005,32038,17033.462176734465,0.5316643416172815
7.0,0.005,34411,17857.879393237978,0.5189584549486495
7.0,0.005,36784,18638.904821990236,0.5067122885491039
7.0,0.005,39289,19420.067575796907,0.49428765241662825
7.0,0.005,42057,20234.792014300612,0.4811278030839245
7.0,0.005,44958,21036.76211766444,0.4679203282544695
7.0,0.005,48122,21855.382681766856,0.45416613361387426
7.0,0.005,51550,22680.458443589025,0.43997009589891417
