oversubscription,failure_rate_per_node_day,n_pool,productive_accelerators,productive_per_pool
4.0,0.015,30060,13105.30257425008,0.4359714761892907
4.0,0.015,32038,13539.533889247894,0.4226085863427147
4.0,0.015,34411,14019.106734617433,0.40740189865500664
4.0,0.015,36784,14455.781932682117,0.392991026878048
4.0,0.015,39289,14874.495833944937,0.37859186627160113
4.0,0.015,42057,15291.099301911563,0.36358036241081304
4.0,0.015,44958,15680.105809837974,0.34877231660300667
4.0,0.015,48122,16054.345536687642,0.3336175873132381
4.0,0.015,51550,16406.607320674095,0.3182659034078389
4.0,0.015,55110,16720.010381396747,0.30339340194877057
4.0,0.015,59065,17012.59131336709,0.288031682271516
4.0,0.015,63152,17260.504216923164,0.27331682633840837
4.0,0.015,67503,17470.763987153816,0.258814630270563
4.0,0.015,72249,17645.78360801578,0.2442356794975125
4.0,0.015,77391,17779.4970333815,0.22973597748293084
4.0,0.015,82796,17866.759982359068,0.21579255015168688
4.0,0.015,88597,17909.173780032674,0.20214198878102727
4.0,0.015,94793,17904.879517515925,0.1888839842342359
4.0,0.015,101385,17853.77746297098,0.17609880616433377
4.0,0.015,108505,17755.030702427986,0.16363329526222742
4.0,0.015,116152,17608.327463195063,0.15159728169291156
4.0,0.015,124194,17418.13591599907,0.14024941555952036
