circuit_gbps,placement,regime,alpha_us,cut,applicable,retention,step_ratio,reason
1600.0,blind,scale-up,0.5,cp,False,,,cp has degree 1 in this job
1600.0,blind,scale-up,0.5,pp,True,0.29210016454793525,3.4234831792978824,
1600.0,blind,scale-up,0.5,dp,True,0.7003893579333309,1.42777726227986,
1600.0,blind,scale-up,0.5,checkpoint,True,0.8803738536221919,1.0,
1600.0,blind,rail,3.0,tp,True,0.002479726231529848,403.27032366918087,
1600.0,blind,rail,3.0,cp,False,,,cp has degree 1 in this job
1600.0,blind,rail,3.0,pp,True,0.29209909467841305,3.4234957184682524,
1600.0,blind,rail,3.0,dp,True,0.7003405375319995,1.4278767919446738,
1600.0,blind,rail,3.0,checkpoint,True,0.8803738521604767,1.0,
1600.0,blind,campus-stitch,40.0,tp,True,0.0024794746362328947,403.31124399776724,
1600.0,blind,campus-stitch,40.0,cp,False,,,cp has degree 1 in this job
1600.0,blind,campus-stitch,40.0,pp,True,0.2920832615257585,3.4236812981897327,
1600.0,blind,campus-stitch,40.0,dp,True,0.6996187905319377,1.4293498309839205,
1600.0,blind,campus-stitch,40.0,checkpoint,True,0.8803738305270892,1.0,
1600.0,blind,metro,500.0,tp,True,0.00247635095230065,403.8199832180295,
1600.0,blind,metro,500.0,cp,False,,,cp has degree 1 in this job
1600.0,blind,metro,500.0,pp,True,0.29188656015149284,3.4259885055378607,
1600.0,blind,metro,500.0,dp,True,0.6907683626327528,1.4476632893096903,
1600.0,blind,metro,500.0,checkpoint,True,0.880373561571708,1.0,
1600.0,blind,region,40000.0,tp,True,0.002234610910717674,447.5051988709913,
1600.0,blind,region,40000.0,cp,False,,,cp has degree 1 in this job
1600.0,blind,region,40000.0,pp,True,0.275930012648279,3.6241073973880282,
1600.0,blind,region,40000.0,dp,True,0.3311003930145319,3.020231993370392,
1600.0,blind,region,40000.0,checkpoint,True,0.8803504681958952,1.0,
3200.0,hierarchical,scale-up,0.5,tp,True,0.033640352828769954,29.726204272886772,
3200.0,hierarchical,scale-up,0.5,cp,False,,,cp has degree 1 in this job
3200.0,hierarchical,scale-up,0.5,pp,True,0.925526784565857,1.080465759258471,
3200.0,hierarchical,scale-up,0.5,dp,True,0.9960308558635311,1.0039849610211398,
3200.0,hierarchical,scale-up,0.5,checkpoint,True,0.8803738536221919,1.0,
